ProbeId	GeneId	GeneSymbol	GeneAccnum	GeneRefseqid	GeneEnsemblid	GeneName
201784_s_at	10944	SMAP	NM_014267	NM_014267	NA	small acidic protein
201785_at	6035	RNASE1	NM_002933	NA	NA	ribonuclease, RNase A family, 1 (pancreatic)
201786_s_at	103	ADAR	NM_001111	NA	NA	adenosine deaminase, RNA-specific
201787_at	2192	FBLN1	NM_001996	NA	NA	fibulin 1
201788_at	11325	DDX42	NM_007372	NA	NA	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42
201789_at	51635	DHRS7	BC000637	NM_016029	NA	dehydrogenase/reductase (SDR family) member 7
201790_s_at	1717	DHCR7	AW150953	NM_001360	NA	7-dehydrocholesterol reductase
201791_s_at	1717	DHCR7	NM_001360	NM_001360	NA	7-dehydrocholesterol reductase
201792_at	165	AEBP1	NM_001129	NM_001129	NA	AE binding protein 1
201793_x_at	9887	C1orf16	BF509099	NA	NA	chromosome 1 open reading frame 16
201794_s_at	9887	C1orf16	NM_014837	NA	NA	chromosome 1 open reading frame 16
201795_at	3930	LBR	NM_002296	NA	NA	lamin B receptor
201796_s_at	7407	VARS	BE790854	NM_006295	NA	valyl-tRNA synthetase
201797_s_at	7407	VARS	NM_006295	NM_006295	NA	valyl-tRNA synthetase
201798_s_at	26509	FER1L3	NM_013451	NA	NA	fer-1-like 3, myoferlin (C. elegans)
201799_s_at	5007	OSBP	AI927993	NM_002556	NA	oxysterol binding protein
201800_s_at	5007	OSBP	AF185696	NM_002556	NA	oxysterol binding protein
201801_s_at	2030	SLC29A1	AF079117	NM_004955	NA	solute carrier family 29 (nucleoside transporters), member 1
201802_at	2030	SLC29A1	NM_004955	NM_004955	NA	solute carrier family 29 (nucleoside transporters), member 1
201803_at	5431	POLR2B	NM_000938	NM_000938	NA	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa
201804_x_at	1155	CKAP1	NM_001281	NM_001281	NA	cytoskeleton associated protein 1
201805_at	5571	PRKAG1	NM_002733	NA	NA	protein kinase, AMP-activated, gamma 1 non-catalytic subunit
201806_s_at	11273	ATXN2L	NM_007245	NA	NA	ataxin 2-like
201807_at	9559	VPS26A	NM_004896	NM_004896	NA	vacuolar protein sorting 26 homolog A (yeast)
201808_s_at	2022	ENG	BE732652	NM_000118	NA	endoglin (Osler-Rendu-Weber syndrome 1)
201809_s_at	2022	ENG	NM_000118	NM_000118	NA	endoglin (Osler-Rendu-Weber syndrome 1)
201810_s_at	9467	SH3BP5	AL562152	NA	NA	SH3-domain binding protein 5 (BTK-associated)
201811_x_at	9467	SH3BP5	NM_004844	NA	NA	SH3-domain binding protein 5 (BTK-associated)
201812_s_at	NA	NA	NM_019059	NA	NA	NA
201813_s_at	9779	TBC1D5	AI654161	NM_014744	NA	TBC1 domain family, member 5
201814_at	9779	TBC1D5	AI300084	NM_014744	NA	TBC1 domain family, member 5
201815_s_at	9779	TBC1D5	NM_014744	NM_014744	NA	TBC1 domain family, member 5
201816_s_at	2631	GBAS	NM_001483	NM_001483	NA	glioblastoma amplified sequence
201817_at	9690	UBE3C	NM_014671	NM_014671	NA	ubiquitin protein ligase E3C
201818_at	79888	FLJ12443	NM_024830	NM_024830	NA	hypothetical protein FLJ12443
201819_at	949	SCARB1	NM_005505	NM_005505	NA	scavenger receptor class B, member 1
201820_at	3852	KRT5	NM_000424	NM_000424	NA	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
201821_s_at	10440	TIMM17A	BC004439	NM_006335	NA	translocase of inner mitochondrial membrane 17 homolog A (yeast)
201822_at	10440	TIMM17A	NM_006335	NM_006335	NA	translocase of inner mitochondrial membrane 17 homolog A (yeast)
201823_s_at	9604	RNF14	NM_004290	NA	NA	ring finger protein 14
201824_at	9604	RNF14	AB022663	NA	NA	ring finger protein 14
201825_s_at	51097	SCCPDH	AL572542	NM_016002	NA	saccharopine dehydrogenase (putative)
201826_s_at	51097	SCCPDH	NM_016002	NM_016002	NA	saccharopine dehydrogenase (putative)
201827_at	6603	SMARCD2	AF113019	NM_003077	NA	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
201828_x_at	8933	CXX1	NM_003928	NM_003928	NA	CAAX box 1
201829_at	10276	NET1	AW263232	NM_005863	NA	neuroepithelial cell transforming gene 1
201830_s_at	10276	NET1	NM_005863	NM_005863	NA	neuroepithelial cell transforming gene 1
201831_s_at	8615	VDP	BE875592	NM_003715	NA	vesicle docking protein p115
201832_s_at	8615	VDP	NM_003715	NM_003715	NA	vesicle docking protein p115
201833_at	3066	HDAC2	NM_001527	NM_001527	NA	histone deacetylase 2
201834_at	5564	PRKAB1	BC001007	NM_006253	NA	protein kinase, AMP-activated, beta 1 non-catalytic subunit
201835_s_at	5564	PRKAB1	NM_006253	NM_006253	NA	protein kinase, AMP-activated, beta 1 non-catalytic subunit
201836_s_at	9913	SUPT7L	AU154740	NM_014860	NA	suppressor of Ty 7 (S. cerevisiae)-like
201837_s_at	9913	SUPT7L	AF197954	NM_014860	NA	suppressor of Ty 7 (S. cerevisiae)-like
201838_s_at	9913	SUPT7L	NM_014860	NM_014860	NA	suppressor of Ty 7 (S. cerevisiae)-like
201839_s_at	4072	TACSTD1	NM_002354	NM_002354	NA	tumor-associated calcium signal transducer 1
201840_at	4738	NEDD8	NM_006156	NM_006156	NA	neural precursor cell expressed, developmentally down-regulated 8
201841_s_at	3315	HSPB1	NM_001540	NM_001540	NA	heat shock 27kDa protein 1
201842_s_at	2202	EFEMP1	AI826799	NA	NA	EGF-containing fibulin-like extracellular matrix protein 1
201843_s_at	2202	EFEMP1	NM_004105	NA	NA	EGF-containing fibulin-like extracellular matrix protein 1
201844_s_at	23429	RYBP	W84482	NM_012234	NA	RING1 and YY1 binding protein
201845_s_at	23429	RYBP	AB029551	NM_012234	NA	RING1 and YY1 binding protein
201846_s_at	23429	RYBP	NM_012234	NM_012234	NA	RING1 and YY1 binding protein
201847_at	3988	LIPA	NM_000235	NM_000235	NA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)
201848_s_at	664	BNIP3	U15174	NM_004052	NA	BCL2/adenovirus E1B 19kDa interacting protein 3
201849_at	664	BNIP3	NM_004052	NM_004052	NA	BCL2/adenovirus E1B 19kDa interacting protein 3
201850_at	822	CAPG	NM_001747	NM_001747	NA	capping protein (actin filament), gelsolin-like
201851_at	6455	SH3GL1	NM_003025	NM_003025	NA	SH3-domain GRB2-like 1
201852_x_at	1281	COL3A1	AI813758	NM_000090	NA	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
201853_s_at	994	CDC25B	NM_021873	NA	NA	cell division cycle 25B
201854_s_at	23300	ASCIZ	AI744148	NM_015251	NA	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein
201855_s_at	23300	ASCIZ	NM_015251	NM_015251	NA	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein
201856_s_at	51663	ZFR	BC000376	NM_016107	NA	zinc finger RNA binding protein
201857_at	51663	ZFR	NM_016107	NM_016107	NA	zinc finger RNA binding protein
201858_s_at	5552	PRG1	J03223	NM_002727	NA	proteoglycan 1, secretory granule
201859_at	5552	PRG1	NM_002727	NM_002727	NA	proteoglycan 1, secretory granule
201860_s_at	5327	PLAT	NM_000930	NA	NA	plasminogen activator, tissue
201861_s_at	9208	LRRFIP1	BF965566	NM_004735	NA	leucine rich repeat (in FLII) interacting protein 1
201862_s_at	9208	LRRFIP1	NM_004735	NM_004735	NA	leucine rich repeat (in FLII) interacting protein 1
201863_at	26017	FAM32A	NM_014077	NM_014077	NA	family with sequence similarity 32, member A
201864_at	2664	GDI1	NM_001493	NM_001493	NA	GDP dissociation inhibitor 1
201865_x_at	2908	NR3C1	AI432196	NA	NA	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
201866_s_at	2908	NR3C1	NM_000176	NA	NA	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
201867_s_at	6907	TBL1X	AW968555	NM_005647	NA	transducin (beta)-like 1X-linked
201868_s_at	6907	TBL1X	AI082187	NM_005647	NA	transducin (beta)-like 1X-linked
201869_s_at	6907	TBL1X	BF593932	NM_005647	NA	transducin (beta)-like 1X-linked
201870_at	10953	TOMM34	NM_006809	NM_006809	NA	translocase of outer mitochondrial membrane 34
201871_s_at	51035	LOC51035	NM_015853	NM_015853	NA	unknown protein LOC51035
201872_s_at	6059	ABCE1	AI002002	NM_002940	NA	ATP-binding cassette, sub-family E (OABP), member 1
201873_s_at	6059	ABCE1	NM_002940	NM_002940	NA	ATP-binding cassette, sub-family E (OABP), member 1
201874_at	9019	MPZL1	BF978611	NA	NA	myelin protein zero-like 1
201875_s_at	9019	MPZL1	NM_024569	NA	NA	myelin protein zero-like 1
201876_at	5445	PON2	NM_000305	NA	NA	paraoxonase 2
201877_s_at	5527	PPP2R5C	NM_002719	NA	NA	protein phosphatase 2, regulatory subunit B (B56), gamma isoform
201878_at	25820	ARIH1	N25546	NM_005744	NA	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
201879_at	25820	ARIH1	AI694332	NM_005744	NA	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
201880_at	25820	ARIH1	AL040708	NM_005744	NA	Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
201881_s_at	25820	ARIH1	NM_005744	NM_005744	NA	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
201882_x_at	2683	B4GALT1	AI492393	NM_001497	NA	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
201883_s_at	2683	B4GALT1	D29805	NM_001497	NA	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
201884_at	1048	CEACAM5	NM_004363	NM_004363	NA	carcinoembryonic antigen-related cell adhesion molecule 5
201885_s_at	1727	CYB5R3	NM_000398	NA	NA	cytochrome b5 reductase 3
201886_at	80344	WDR23	NM_025230	NA	NA	WD repeat domain 23
201887_at	3597	IL13RA1	NM_001560	NM_001560	NA	interleukin 13 receptor, alpha 1
201888_s_at	3597	IL13RA1	U81379	NM_001560	NA	interleukin 13 receptor, alpha 1
201889_at	10447	FAM3C	NM_014888	NM_014888	NA	family with sequence similarity 3, member C
201890_at	6241	RRM2	BE966236	NM_001034	NA	ribonucleotide reductase M2 polypeptide
201891_s_at	567	B2M	NM_004048	NM_004048	NA	beta-2-microglobulin
201892_s_at	3615	IMPDH2	NM_000884	NM_000884	NA	IMP (inosine monophosphate) dehydrogenase 2
201893_x_at	1634	DCN	AF138300	NA	NA	decorin
201894_s_at	6745	SSR1	NM_001920	NM_003144	NA	signal sequence receptor, alpha (translocon-associated protein alpha)
201895_at	369	ARAF	NM_001654	NM_001654	NA	v-raf murine sarcoma 3611 viral oncogene homolog
201896_s_at	84722	PSRC1	BC001425	NA	NA	proline/serine-rich coiled-coil 1
201897_s_at	1163	CKS1B	NM_001826	NM_001826	NA	CDC28 protein kinase regulatory subunit 1B
201898_s_at	7319	UBE2A	AI126625	NA	NA	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
201899_s_at	7319	UBE2A	NM_003336	NA	NA	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
201900_s_at	10327	AKR1A1	NM_006066	NA	NA	aldo-keto reductase family 1, member A1 (aldehyde reductase)
201901_s_at	7528	YY1	Z14077	NM_003403	NA	YY1 transcription factor
201902_s_at	7528	YY1	BG390664	NM_003403	NA	YY1 transcription factor
201903_at	7384	UQCRC1	NM_003365	NM_003365	NA	ubiquinol-cytochrome c reductase core protein I
201904_s_at	10217	CTDSPL	BF031714	NA	NA	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201905_s_at	10217	CTDSPL	BF590317	NA	NA	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201906_s_at	10217	CTDSPL	NM_005808	NA	NA	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201907_x_at	1857	DVL3	U49262	NM_004423	NA	dishevelled, dsh homolog 3 (Drosophila)
201908_at	1857	DVL3	NM_004423	NM_004423	NA	dishevelled, dsh homolog 3 (Drosophila)
201909_at	6192	RPS4Y1	NM_001008	NM_001008	NA	ribosomal protein S4, Y-linked 1
201910_at	10160	FARP1	BF213279	NA	NA	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
201911_s_at	10160	FARP1	NM_005766	NA	NA	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
201912_s_at	2935	GSPT1	NM_002094	NM_002094	NA	NA
201913_s_at	80347	COASY	NM_025233	NM_025233	NA	Coenzyme A synthase
201914_s_at	11231	SEC63	AK001465	NM_007214	NA	SEC63-like (S. cerevisiae)
201915_at	11231	SEC63	AI806665	NM_007214	NA	SEC63-like (S. cerevisiae)
201916_s_at	11231	SEC63	NM_007214	NM_007214	NA	SEC63-like (S. cerevisiae)
201917_s_at	55186	SLC25A36	AI694452	NM_018155	NA	solute carrier family 25, member 36
201918_at	55186	FLJ10618	AI927944	NM_018155	NA	Solute carrier family 25, member 36
201919_at	55186	FLJ10618	AL049246	NM_018155	NA	Solute carrier family 25, member 36
201920_at	6574	SLC20A1	NM_005415	NM_005415	NA	solute carrier family 20 (phosphate transporter), member 1
201921_at	NA	NA	NM_004125	NA	NA	NA
201922_at	10412	TINP1	NM_014886	NM_014886	NA	TGF beta-inducible nuclear protein 1
201923_at	10549	PRDX4	NM_006406	NM_006406	NA	peroxiredoxin 4
201924_at	4299	AFF1	NM_005935	NM_005935	NA	AF4/FMR2 family, member 1
201925_s_at	1604	DAF	NM_000574	NM_000574	NA	decay accelerating factor for complement (CD55, Cromer blood group system)
201926_s_at	1604	DAF	BC001288	NM_000574	NA	decay accelerating factor for complement (CD55, Cromer blood group system)
201927_s_at	8502	PKP4	BG292559	NA	NA	plakophilin 4
201928_at	8502	PKP4	AA194254	NA	NA	plakophilin 4
201929_s_at	8502	PKP4	NM_003628	NA	NA	plakophilin 4
201930_at	4175	MCM6	NM_005915	NM_005915	NA	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)
201931_at	2108	ETFA	NM_000126	NM_000126	NA	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)
201932_at	10489	LRRC41	NM_006369	NM_006369	NA	leucine rich repeat containing 41
201933_at	5119	PCOLN3	NM_002768	NM_002768	NA	procollagen (type III) N-endopeptidase
201934_at	80335	PRO2730	N92524	NM_025222	NA	Hypothetical protein PRO2730
201935_s_at	8672	EIF4G3	AI768122	NM_003760	NA	eukaryotic translation initiation factor 4 gamma, 3
201936_s_at	8672	EIF4G3	NM_003760	NM_003760	NA	eukaryotic translation initiation factor 4 gamma, 3
201937_s_at	23549	DNPEP	NM_012100	NM_012100	NA	aspartyl aminopeptidase
201938_at	8099	CDK2AP1	NM_004642	NM_004642	NA	CDK2-associated protein 1
201939_at	10769	PLK2	NM_006622	NM_006622	NA	polo-like kinase 2 (Drosophila)
201940_at	1362	CPD	AA897514	NM_001304	NA	carboxypeptidase D
201941_at	1362	CPD	BE349147	NM_001304	NA	carboxypeptidase D
201942_s_at	1362	CPD	D85390	NM_001304	NA	carboxypeptidase D
201943_s_at	1362	CPD	NM_001304	NM_001304	NA	carboxypeptidase D
201944_at	3074	HEXB	NM_000521	NM_000521	NA	hexosaminidase B (beta polypeptide)
201945_at	5045	FURIN	NM_002569	NM_002569	NA	furin (paired basic amino acid cleaving enzyme)
201946_s_at	10576	CCT2	AL545982	NM_006431	NA	chaperonin containing TCP1, subunit 2 (beta)
201947_s_at	10576	CCT2	NM_006431	NM_006431	NA	chaperonin containing TCP1, subunit 2 (beta)
201948_at	29889	GNL2	NM_013285	NM_013285	NA	guanine nucleotide binding protein-like 2 (nucleolar)
201949_x_at	832	CAPZB	AL572341	NM_004930	NA	capping protein (actin filament) muscle Z-line, beta
201950_x_at	832	CAPZB	NM_004930	NM_004930	NA	capping protein (actin filament) muscle Z-line, beta
201951_at	214	ALCAM	BF242905	NM_001627	NA	activated leukocyte cell adhesion molecule
201952_at	214	ALCAM	AA156721	NM_001627	NA	activated leukocyte cell adhesion molecule
201953_at	10519	CIB1	NM_006384	NM_006384	NA	calcium and integrin binding 1 (calmyrin)
201954_at	10095	ARPC1B	NM_005720	NM_005720	NA	actin related protein 2/3 complex, subunit 1B, 41kDa
201955_at	892	CCNC	AL137784	NA	NA	cyclin C
201956_s_at	8443	GNPAT	NM_014236	NM_014236	NA	glyceronephosphate O-acyltransferase
201957_at	4660	PPP1R12B	AF324888	NA	NA	protein phosphatase 1, regulatory (inhibitor) subunit 12B
201958_s_at	4660	PPP1R12B	NM_002481	NA	NA	protein phosphatase 1, regulatory (inhibitor) subunit 12B
201959_s_at	23077	MYCBP2	AA488899	NM_015057	NA	MYC binding protein 2
201960_s_at	23077	MYCBP2	NM_015057	NM_015057	NA	MYC binding protein 2
201961_s_at	10193	RNF41	AL583171	NA	NA	ring finger protein 41
201962_s_at	10193	RNF41	NM_005785	NA	NA	ring finger protein 41
201963_at	2180	ACSL1	NM_021122	NM_001995	NA	acyl-CoA synthetase long-chain family member 1
201964_at	23064	ALS4	N64643	NM_015046	NA	amyotrophic lateral sclerosis 4
201965_s_at	23064	ALS4	NM_015046	NM_015046	NA	amyotrophic lateral sclerosis 4
201966_at	4720	NDUFS2	NM_004550	NM_004550	NA	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)
201967_at	10180	RBM6	NM_005777	NM_005777	NA	RNA binding motif protein 6
201968_s_at	5236	PGM1	NM_002633	NM_002633	NA	phosphoglucomutase 1
201969_at	4678	NASP	AW003362	NA	NA	nuclear autoantigenic sperm protein (histone-binding)
201970_s_at	4678	NASP	NM_002482	NA	NA	nuclear autoantigenic sperm protein (histone-binding)
201971_s_at	523	ATP6V1A	NM_001690	NM_001690	NA	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
201972_at	523	ATP6V1A	AF113129	NM_001690	NA	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
201973_s_at	51622	C7orf28A	AL550875	NM_015622	NA	chromosome 7 open reading frame 28A
201974_s_at	NA	NA	NM_015622	NA	NA	NA
201975_at	6249	RSN	NM_002956	NA	NA	restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)
201976_s_at	4651	MYO10	NM_012334	NM_012334	NA	myosin X
201977_s_at	9812	KIAA0141	AI539425	NM_014773	NA	KIAA0141
201978_s_at	9812	KIAA0141	NM_014773	NM_014773	NA	KIAA0141
201979_s_at	5536	PPP5C	NM_006247	NM_006247	NA	protein phosphatase 5, catalytic subunit
201980_s_at	6251	RSU1	NM_012425	NA	NA	Ras suppressor protein 1
201981_at	5069	PAPPA	AA148534	NM_002581	NA	pregnancy-associated plasma protein A, pappalysin 1
201982_s_at	5069	PAPPA	NM_002581	NM_002581	NA	pregnancy-associated plasma protein A, pappalysin 1
201983_s_at	1956	EGFR	AW157070	NA	NA	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
201984_s_at	1956	EGFR	NM_005228	NA	NA	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
201985_at	9897	KIAA0196	NM_014846	NM_014846	NA	KIAA0196
201986_at	9969	THRAP1	AB011165	NM_005121	NA	thyroid hormone receptor associated protein 1
201987_at	9969	THRAP1	AI984051	NM_005121	NA	Thyroid hormone receptor associated protein 1
201988_s_at	1389	CREBL2	BF438056	NM_001310	NA	cAMP responsive element binding protein-like 2
201989_s_at	1389	CREBL2	AL529409	NM_001310	NA	cAMP responsive element binding protein-like 2
201990_s_at	1389	CREBL2	NM_001310	NM_001310	NA	cAMP responsive element binding protein-like 2
201991_s_at	3799	KIF5B	BF223224	NM_004521	NA	kinesin family member 5B
201992_s_at	3799	KIF5B	NM_004521	NM_004521	NA	kinesin family member 5B
201993_x_at	9987	HNRPDL	NM_005463	NA	NA	heterogeneous nuclear ribonucleoprotein D-like
201994_at	9643	MORF4L2	NM_012286	NM_012286	NA	mortality factor 4 like 2
201995_at	2131	EXT1	NM_000127	NM_000127	NA	exostoses (multiple) 1
201996_s_at	23013	SPEN	AL524033	NM_015001	NA	spen homolog, transcriptional regulator (Drosophila)
201997_s_at	23013	SPEN	NM_015001	NM_015001	NA	spen homolog, transcriptional regulator (Drosophila)
201998_at	6480	ST6GAL1	AI743792	NA	NA	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1
201999_s_at	6993	TCTEL1	NM_006519	NM_006519	NA	t-complex-associated-testis-expressed 1-like 1
202000_at	4700	NDUFA6	BC002772	NM_002490	NA	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
202001_s_at	4700	NDUFA6	NM_002490	NM_002490	NA	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
202002_at	10449	ACAA2	AW072302	NM_006111	NA	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
202003_s_at	10449	ACAA2	NM_006111	NM_006111	NA	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
202004_x_at	6391	SDHC	NM_003001	NM_003001	NA	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa
202005_at	6768	ST14	NM_021978	NM_021978	NA	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)
202006_at	5782	PTPN12	NM_002835	NM_002835	NA	protein tyrosine phosphatase, non-receptor type 12
202007_at	4811	NID1	BF940043	NM_002508	NA	nidogen 1
202008_s_at	4811	NID1	NM_002508	NM_002508	NA	nidogen 1
202009_at	11344	PTK9L	NM_007284	NM_007284	NA	PTK9L protein tyrosine kinase 9-like (A6-related protein)
202010_s_at	57862	ZNF410	NM_021188	NM_021188	NA	zinc finger protein 410
202011_at	7082	TJP1	NM_003257	NA	NA	tight junction protein 1 (zona occludens 1)
202012_s_at	2132	EXT2	AA196245	NA	NA	exostoses (multiple) 2
202013_s_at	2132	EXT2	NM_000401	NA	NA	exostoses (multiple) 2
202014_at	23645	PPP1R15A	NM_014330	NM_014330	NA	protein phosphatase 1, regulatory (inhibitor) subunit 15A
202015_x_at	10988	METAP2	NM_006838	NM_006838	NA	methionyl aminopeptidase 2
202016_at	4232	MEST	NM_002402	NA	NA	mesoderm specific transcript homolog (mouse)
202017_at	2052	EPHX1	NM_000120	NM_000120	NA	epoxide hydrolase 1, microsomal (xenobiotic)
202018_s_at	4057	LTF	NM_002343	NM_002343	NA	lactotransferrin
202019_s_at	10314	LANCL1	AI935255	NM_006055	NA	LanC lantibiotic synthetase component C-like 1 (bacterial)
202020_s_at	10314	LANCL1	NM_006055	NM_006055	NA	LanC lantibiotic synthetase component C-like 1 (bacterial)
202021_x_at	10209	EIF1	AF083441	NM_005801	NA	eukaryotic translation initiation factor 1
202022_at	230	ALDOC	NM_005165	NM_005165	NA	aldolase C, fructose-bisphosphate
202023_at	1942	EFNA1	NM_004428	NA	NA	ephrin-A1
202024_at	439	ASNA1	NM_004317	NM_004317	NA	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
202025_x_at	30	ACAA1	NM_001607	NM_001607	NA	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)
202026_at	6392	SDHD	NM_003002	NM_003002	NA	succinate dehydrogenase complex, subunit D, integral membrane protein
202027_at	25829	C22orf5	NM_012264	NM_012264	NA	chromosome 22 open reading frame 5
202028_s_at	NA	NA	BC000603	NA	NA	NA
202029_x_at	6169	RPL38	NM_000999	NM_000999	NA	ribosomal protein L38
202030_at	10295	BCKDK	NM_005881	NM_005881	NA	branched chain ketoacid dehydrogenase kinase
202031_s_at	26100	WIPI-2	NM_015610	NA	NA	WIPI49-like protein 2
202032_s_at	4122	MAN2A2	NM_006122	NM_006122	NA	mannosidase, alpha, class 2A, member 2
202033_s_at	9821	RB1CC1	BG402105	NM_014781	NA	RB1-inducible coiled-coil 1
202034_x_at	9821	RB1CC1	NM_014781	NM_014781	NA	RB1-inducible coiled-coil 1
202035_s_at	6422	SFRP1	AI332407	NM_003012	NA	secreted frizzled-related protein 1
202036_s_at	6422	SFRP1	AF017987	NM_003012	NA	secreted frizzled-related protein 1
202037_s_at	6422	SFRP1	NM_003012	NM_003012	NA	secreted frizzled-related protein 1
202038_at	9354	UBE4A	NM_004788	NM_004788	NA	ubiquitination factor E4A (UFD2 homolog, yeast)
202039_at	NA	NA	NM_004740	NA	NA	NA
202040_s_at	5927	JARID1A	NM_005056	NM_005056	NA	Jumonji, AT rich interactive domain 1A (RBBP2-like)
202041_s_at	9158	FIBP	NM_004214	NA	NA	fibroblast growth factor (acidic) intracellular binding protein
202042_at	3035	HARS	NM_002109	NM_002109	NA	histidyl-tRNA synthetase
202043_s_at	6611	SMS	NM_004595	NM_004595	NA	spermine synthase
202044_at	2909	GRLF1	AU159484	NA	NA	glucocorticoid receptor DNA binding factor 1
202045_s_at	2909	GRLF1	AI670100	NA	NA	glucocorticoid receptor DNA binding factor 1
202046_s_at	2909	GRLF1	NM_004491	NA	NA	glucocorticoid receptor DNA binding factor 1
202047_s_at	23466	CBX6	AI458128	NM_014292	NA	chromobox homolog 6
202048_s_at	23466	CBX6	NM_014292	NM_014292	NA	chromobox homolog 6
202049_s_at	9202	ZNF262	AA521508	NM_005095	NA	zinc finger protein 262
202050_s_at	9202	ZNF262	AI650586	NM_005095	NA	zinc finger protein 262
202051_s_at	9202	ZNF262	NM_005095	NM_005095	NA	zinc finger protein 262
202052_s_at	26064	RAI14	NM_015577	NM_015577	NA	retinoic acid induced 14
202053_s_at	224	ALDH3A2	L47162	NA	NA	aldehyde dehydrogenase 3 family, member A2
202054_s_at	224	ALDH3A2	NM_000382	NA	NA	aldehyde dehydrogenase 3 family, member A2
202055_at	3836	KPNA1	AA652173	NM_002264	NA	Karyopherin alpha 1 (importin alpha 5)
202056_at	3836	KPNA1	AW051311	NM_002264	NA	Karyopherin alpha 1 (importin alpha 5)
202057_at	3836	KPNA1	BC002374	NM_002264	NA	karyopherin alpha 1 (importin alpha 5)
202058_s_at	3836	KPNA1	BC002374	NM_002264	NA	karyopherin alpha 1 (importin alpha 5)
202059_s_at	3836	KPNA1	NM_002264	NM_002264	NA	karyopherin alpha 1 (importin alpha 5)
202060_at	9646	SH2BP1	NM_014633	NM_014633	NA	SH2 domain binding protein 1 (tetratricopeptide repeat containing)
202061_s_at	6400	SEL1L	AI927770	NM_005065	NA	sel-1 suppressor of lin-12-like (C. elegans)
202062_s_at	6400	SEL1L	NM_005065	NM_005065	NA	sel-1 suppressor of lin-12-like (C. elegans)
202063_s_at	6400	SEL1L	AB020335	NM_005065	NA	sel-1 suppressor of lin-12-like (C. elegans)
202064_s_at	6400	SEL1L	AF052059	NM_005065	NA	sel-1 suppressor of lin-12-like (C. elegans)
202065_s_at	8500	PPFIA1	BG033593	NA	NA	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
202066_at	8500	PPFIA1	AA195259	NA	NA	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
202067_s_at	3949	LDLR	AI861942	NM_000527	NA	low density lipoprotein receptor (familial hypercholesterolemia)
202068_s_at	3949	LDLR	NM_000527	NM_000527	NA	low density lipoprotein receptor (familial hypercholesterolemia)
202069_s_at	3419	IDH3A	AI826060	NM_005530	NA	isocitrate dehydrogenase 3 (NAD+) alpha
